Title,Price (£),Rating (out of 5),Category,Availability,URL
Becoming,£19.57,5,Nonfiction,In stock,https://books.toscrape.com/catalogue/becoming_54/index.html
Big Magic,£31.08,3,Science,In stock,https://books.toscrape.com/catalogue/big-magic_55/index.html
Bird Box,£53.71,1,Biography,In stock,https://books.toscrape.com/catalogue/bird-box_56/index.html
Born a Crime,£14.89,5,Mystery,In stock,https://books.toscrape.com/catalogue/born-a-crime_57/index.html
Brave New World,£56.31,2,Romance,In stock,https://books.toscrape.com/catalogue/brave-new-world_58/index.html
Breakfast at Tiffany's,£34.27,2,Fiction,In stock,https://books.toscrape.com/catalogue/breakfast-at-tiffanys_59/index.html
Brooklyn,£18.22,1,History,In stock,https://books.toscrape.com/catalogue/brooklyn_60/index.html
Catching Fire,£56.32,4,Romance,In stock,https://books.toscrape.com/catalogue/catching-fire_61/index.html
Chronicles of Narnia,£44.82,5,Nonfiction,In stock,https://books.toscrape.com/catalogue/chronicles-of-narnia_62/index.html
Cloud Atlas,£19.48,2,Travel,In stock,https://books.toscrape.com/catalogue/cloud-atlas_63/index.html
Confess,£46.78,1,Fiction,In stock,https://books.toscrape.com/catalogue/confess_64/index.html
Crooked Kingdom,£12.50,4,Biography,Out of stock,https://books.toscrape.com/catalogue/crooked-kingdom_65/index.html
Crying in H Mart,£17.86,5,Nonfiction,In stock,https://books.toscrape.com/catalogue/crying-in-h-mart_66/index.html
Daisy Jones and The Six,£13.42,1,Romance,In stock,https://books.toscrape.com/catalogue/daisy-jones-and-the-six_67/index.html
Dark Places,£15.98,5,Travel,In stock,https://books.toscrape.com/catalogue/dark-places_68/index.html
Digital Minimalism,£39.72,5,Romance,In stock,https://books.toscrape.com/catalogue/digital-minimalism_69/index.html
Divergent,£42.86,5,Fantasy,Out of stock,https://books.toscrape.com/catalogue/divergent_70/index.html
Do Androids Dream of Electric Sheep,£56.73,2,Science,In stock,https://books.toscrape.com/catalogue/do-androids-dream-of-electric-sheep_71/index.html
Dune,£23.27,2,Horror,In stock,https://books.toscrape.com/catalogue/dune_72/index.html
Eleanor Oliphant is Completely Fine,£25.80,1,Horror,In stock,https://books.toscrape.com/catalogue/eleanor-oliphant-is-completely-fine_73/index.html
Everything I Never Told You,£41.05,5,Mystery,In stock,https://books.toscrape.com/catalogue/everything-i-never-told-you_74/index.html
Factfulness,£36.87,5,Nonfiction,In stock,https://books.toscrape.com/catalogue/factfulness_75/index.html
Fight Club,£56.65,1,Fantasy,In stock,https://books.toscrape.com/catalogue/fight-club_76/index.html
Fingersmith,£24.24,4,History,Out of stock,https://books.toscrape.com/catalogue/fingersmith_77/index.html
Flowers for Algernon,£40.57,5,Biography,In stock,https://books.toscrape.com/catalogue/flowers-for-algernon_78/index.html
Foundation,£24.96,1,History,In stock,https://books.toscrape.com/catalogue/foundation_79/index.html
Frankenstein,£15.76,1,Nonfiction,Out of stock,https://books.toscrape.com/catalogue/frankenstein_80/index.html
Garden of the Moon,£23.61,5,Fantasy,In stock,https://books.toscrape.com/catalogue/garden-of-the-moon_81/index.html
Girl on the Train,£20.17,3,Horror,Out of stock,https://books.toscrape.com/catalogue/girl-on-the-train_82/index.html
Give Me Your Hand,£22.55,1,Romance,In stock,https://books.toscrape.com/catalogue/give-me-your-hand_83/index.html
Gone Girl,£51.46,1,Fantasy,In stock,https://books.toscrape.com/catalogue/gone-girl_84/index.html
Good Omens,£48.55,3,Horror,In stock,https://books.toscrape.com/catalogue/good-omens_85/index.html
Greenlights,£37.57,4,Fiction,Out of stock,https://books.toscrape.com/catalogue/greenlights_86/index.html
Hamnet,£15.58,2,Fiction,Out of stock,https://books.toscrape.com/catalogue/hamnet_87/index.html
Harry Potter and the Prisoner of Azkaban,£51.72,5,Nonfiction,Out of stock,https://books.toscrape.com/catalogue/harry-potter-and-the-prisoner-of-azkaban_88/index.html
Hitchhiker's Guide to the Galaxy,£31.48,1,Fantasy,In stock,https://books.toscrape.com/catalogue/hitchhikers-guide-to-the-galaxy_89/index.html
Homeland,£54.94,1,Science,In stock,https://books.toscrape.com/catalogue/homeland_90/index.html
House of Leaves,£44.09,1,Biography,In stock,https://books.toscrape.com/catalogue/house-of-leaves_91/index.html
If We Were Villains,£54.20,4,Nonfiction,In stock (1 available),https://books.toscrape.com/catalogue/if-we-were-villains_92/index.html
Invisible Man,£56.28,2,Nonfiction,In stock,https://books.toscrape.com/catalogue/invisible-man_93/index.html
Jane Eyre,£54.06,1,Fantasy,In stock,https://books.toscrape.com/catalogue/jane-eyre_94/index.html
Just Kids,£49.11,4,History,In stock,https://books.toscrape.com/catalogue/just-kids_95/index.html
Kafka on the Shore,£17.95,1,Fiction,In stock,https://books.toscrape.com/catalogue/kafka-on-the-shore_96/index.html
Kitchen Confidential,£52.92,2,Horror,In stock,https://books.toscrape.com/catalogue/kitchen-confidential_97/index.html
Klara and the Sun,£27.47,2,Fiction,In stock,https://books.toscrape.com/catalogue/klara-and-the-sun_98/index.html
Less,£42.99,4,History,In stock,https://books.toscrape.com/catalogue/less_99/index.html
Lessons in Chemistry,£53.21,3,Biography,In stock,https://books.toscrape.com/catalogue/lessons-in-chemistry_100/index.html
